0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
2, 2, 2, 2, 2, 2, 2
0, 0, 0, 0, 0, 0, 0
1, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0
5, 5, 5, 5, 5, 5, 5
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
6, 6, 6, 6, 6, 6, 6
6, 6, 6, 6, 6, 6, 6
3, 3, 3, 3, 3, 3, 3
35, 35, 35, 35, 35, 35, 35
35, 35, 35, 35, 35, 35, 35
29, 29, 29, 29, 29, 29, 29
1, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
